timestamp,open,high,low,close,volume,log_close,log_return,log_volume,rsi_14,sma_8,ema_8,sma_20,ema_20,sma_100,ema_100,volatility_7,volatility_30,buying_pressure,candle_range,candle_body,upper_wick,lower_wick,log_ret_lag_1,log_ret_lag_2,log_ret_lag_3,log_ret_lag_4,log_ret_lag_5,log_ret_lag_6,log_ret_lag_7,sin_day,cos_day,sin_month,cos_month,sp500,log_ret_sp500,vol_7d_sp500,dxy,log_ret_dxy,vol_7d_dxy,vix,log_ret_vix,vol_7d_vix,gold,log_ret_gold,vol_7d_gold,fgi,fgi_norm
2018-02-01 00:00:00+00:00,10102.082867,10169.87,8455.0,9010.210912,0.0,9.106113758985453,-0.11438314703800323,0.0,32.03405199873117,10701.78956125,10459.287255395426,11487.36495535,11499.10934688625,11547.20455088,11305.1257561821,0.05685573946966569,0.06381090504664123,0.3237626828855833,0.19032517848345798,-0.10808384462641518,0.007523368061198347,0.061620190406481846,0.011767754566204047,-0.1110421450412371,-0.04653934735707743,0.022477727434441874,0.029232279320810406,-0.004303249411698573,-0.021844767827921885,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,2821.97998046875,-0.0006482983520233,0.0070667212931301,88.66999816894531,-0.0051743545854655,0.0025753012635527,13.470000267028809,-0.0051832544205375,0.1003209628814446,1344.300048828125,0.0039504010913762,0.0058600629297889,30.0,0.3
2018-02-02 00:00:00+00:00,9010.210912,9082.242689,7625.25,8810.23804,0.0,9.083669737861465,-0.022444021123988023,0.0,31.26299418204472,10409.72468575,10092.831874196443,11217.9790877,11243.026365278034,11577.91466303,11255.722039029979,0.05601443900441584,0.06333934664076336,0.8133109033054315,0.16537495154898227,-0.022194027859400264,0.008175917230949204,0.13450125122839476,-0.11438314703800323,0.011767754566204047,-0.1110421450412371,-0.04653934735707743,0.022477727434441874,0.029232279320810406,-0.004303249411698573,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,2762.1298828125,-0.0214366805166988,0.0082174696267646,89.19999694824219,0.0059594126317326,0.0034517144584722,17.309999465942383,0.2508193280893314,0.1266086529861388,1333.699951171875,-0.0079164697652263,0.005852796953254,15.0,0.15
2018-02-03 00:00:00+00:00,8810.23804,9480.773734,8164.397913,9225.86,0.0,9.129765689495803,0.04609595163433866,0.0,34.77688827710526,10175.59558225,9900.171457708346,10996.733399300001,11050.915282870603,11611.271511300001,11215.526751128395,0.05892571045371127,0.0643093901322052,0.8063518564125923,0.14268326432440992,0.047174884278155145,0.027630349257413374,0.07000324381683662,-0.022444021123988023,-0.11438314703800323,0.011767754566204047,-0.1110421450412371,-0.04653934735707743,0.022477727434441874,0.029232279320810406,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,2762.1298828125,0.0,0.0082174696267646,89.19999694824219,0.0,0.0034517144584722,17.309999465942383,0.0,0.1266086529861388,1333.699951171875,0.0,0.005852796953254,40.0,0.4
2018-02-04 00:00:00+00:00,9225.86,9349.271582,7863.305511,8191.321445,0.0,9.01083051242768,-0.11893517706812418,0.0,30.58559654145543,9770.994830625,9520.427010439824,10727.458020249998,10778.573012597211,11635.54202575,11155.641497541694,0.06145857720150401,0.06220020910874819,0.22074254614660044,0.1814073688814931,-0.1121346470681325,0.0150661383305046,0.040044324496656354,0.04609595163433866,-0.022444021123988023,-0.11438314703800323,0.011767754566204047,-0.1110421450412371,-0.04653934735707743,0.022477727434441874,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,2762.1298828125,0.0,0.0082174696267646,89.19999694824219,0.0,0.0034517144584722,17.309999465942383,0.0,0.1266086529861388,1333.699951171875,0.0,0.005852796953254,24.0,0.24
2018-02-05 00:00:00+00:00,8191.321445,8338.111659,6583.388625,6901.380797,0.0,8.83947678607216,-0.1713537263555196,0.0,26.325313496811674,9172.6781095,8938.41674078653,10502.9614523,10409.316611111763,11647.16230071,11071.398711392352,0.07438692373963204,0.06718119089991566,0.18122072021538194,0.25425680535738165,-0.1574765020102321,0.021269687663635316,0.04607660138652688,-0.11893517706812418,0.04609595163433866,-0.022444021123988023,-0.11438314703800323,0.011767754566204047,-0.1110421450412371,-0.04653934735707743,0.0,1.0,0.8660254037844386,0.5000000000000001,2648.93994140625,-0.0418425409383814,0.0160227566523018,89.55000305175781,0.0039161572121028,0.0036252928921028,37.31999969482422,0.7682450294663026,0.2957395831044134,1333.0,-0.0005249568386138,0.0058276347354241,11.0,0.11
2018-02-06 00:00:00+00:00,6901.380797,7935.57,5922.20443,7702.859319,0.0,8.949346879041963,0.10987009296980332,0.0,32.6065617147589,8740.9817685,8663.848424833968,10329.260918249998,10151.558773767785,11662.805986239999,11004.69496104795,0.09397443374945805,0.07149988395813571,0.8844170753352062,0.26137898754476785,0.11613306750851939,0.030210947826346972,0.12711855772631694,-0.1713537263555196,-0.11893517706812418,0.04609595163433866,-0.022444021123988023,-0.11438314703800323,0.011767754566204047,-0.1110421450412371,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,2695.139892578125,0.017290573348937,0.0191734089390704,89.58999633789062,0.0004465031476333,0.0035453419473103,29.979999542236328,-0.2189988903963881,0.3259789200475278,1326.0999755859375,-0.0051897559055789,0.004198330828832,8.0,0.08
2018-02-07 00:00:00+00:00,7702.859319,8637.330286,7225.745349,7574.66,0.0,8.932563744881783,-0.01678313416018007,0.0,32.13462966556449,8439.8266725,8421.806552648643,10143.16347525,9906.139842932758,11677.3216766,10936.773476670762,0.0923728611637476,0.07088148711917425,0.24717935269381522,0.18635621097184568,-0.016643081963574453,0.12336804120580992,0.046063407598492874,0.10987009296980332,-0.1713537263555196,-0.11893517706812418,0.04609595163433866,-0.022444021123988023,-0.11438314703800323,0.011767754566204047,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,2681.659912109375,-0.0050141382237526,0.0189461345314834,90.26000213623048,0.0074507523332083,0.0042946364222848,27.729999542236328,-0.0780156342856823,0.325005288176638,1311.5999755859375,-0.0109945379165909,0.0052487807586169,36.0,0.36
2018-02-08 00:00:00+00:00,7574.66,8623.607476,7573.6,8247.357331,0.0,9.01764810449904,0.08508435961725702,0.0,37.26559323309498,8207.9859805,8383.040058948944,9978.25564235,9748.160556082019,11695.364080050002,10883.517711409955,0.09607339554404125,0.07338622061360556,0.6416690798875794,0.12731441525556944,0.08880891432750769,0.045620691562103,0.00012852601839078614,-0.01678313416018007,0.10987009296980332,-0.1713537263555196,-0.11893517706812418,0.04609595163433866,-0.022444021123988023,-0.11438314703800323,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,2581.0,-0.0382590522458017,0.0218325089704245,90.2300033569336,-0.0003324148557827,0.0032460720272229,33.459999084472656,0.1878358250770314,0.3225341682360169,1316.9000244140625,0.004032760898676,0.0052668972212838,30.0,0.3
2018-02-09 00:00:00+00:00,8247.357331,8715.479355,7754.586212,8697.090747,0.0,9.070743851823014,0.05309574732397415,0.0,40.50419245839304,8168.845959875,8452.829100738067,9774.60878255,9648.05866950278,11714.91913135,10840.222127956293,0.0985757589968347,0.07396825524228426,0.9808630042435433,0.11048443335277978,0.05453060876961789,0.002114340132226666,0.0566593052015672,0.08508435961725702,-0.01678313416018007,0.10987009296980332,-0.1713537263555196,-0.11893517706812418,0.04609595163433866,-0.022444021123988023,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,2619.550048828125,0.0148256451995243,0.0236543873229715,90.44000244140624,0.0023246711939369,0.0028675159819729,29.059999465942383,-0.1409880284324524,0.3319296387147504,1313.0999755859375,-0.0028897729829466,0.0047973508884064,44.0,0.44
2018-02-10 00:00:00+00:00,8697.090747,9086.584471,8165.537113,8547.49,0.0,9.053392951580044,-0.01735090024297037,0.0,39.76873679547694,8136.002454875001,8473.864856129607,9626.420955,9543.24260574061,11730.0276618,10794.821491759138,0.09664891598963377,0.07189516330423147,0.4146940802581397,0.10775647096399057,-0.017201240202260062,0.045568198851358696,0.04468597061827501,0.05309574732397415,0.08508435961725702,-0.01678313416018007,0.10987009296980332,-0.1713537263555196,-0.11893517706812418,0.04609595163433866,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,2619.550048828125,0.0,0.0236543873229715,90.44000244140624,0.0,0.0028675159819729,29.059999465942383,0.0,0.3319296387147504,1313.0999755859375,0.0,0.0047973508884064,54.0,0.54
